Track Name,Acousticness,Danceability,Duration(ms),Energy,Id,instrumentalness,key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Albulm
Hood Politics,0.145,0.731,292520,0.661,2UOYzhusMTypF7oAQwksCj,0,6,0.12,-6.562,0,0.376,87.912,4,To Pimp A Butterfly
Alright,0.0742,0.796,219333,0.766,3iVcZ5G6tvkXZkZKlMpIUs,0,7,0.0827,-5.974,1,0.238,110.034,4,To Pimp A Butterfly
King Kunta,0.00589,0.884,234693,0.657,0N3W5peJUQtI4eyR6GJT5O,0,6,0.154,-4.569,0,0.0977,107.059,4,To Pimp A Butterfly
Momma,0.254,0.615,283120,0.743,0CjJqkWOpIUXdem5hUcxAk,0,1,0.665,-4.58,1,0.325,111.914,5,To Pimp A Butterfly
DNA,0.00454,0.638,185947,0.523,6HZILIRieu8S0iqY8kIKhj,0,1,0.0842,-6.664,1,0.357,139.913,4,DAMN
FEEL,0.137,0.746,214827,0.789,2LTlO3NuNVN70lp2ZbVswF,0,0,0.139,-8.382,1,0.349,109.968,4,DAMN
PRIDE,0.0786,0.665,275253,0.535,6IZvVAP7VPPnsGX6bvgkqg,0.0000168,4,0.154,-7.056,0,0.0572,138.842,4,DAMN
HUMBLE,0.000282,0.908,177000,0.621,7KXjTSCq5nL1LoYtL7XAwS,0.0000539,1,0.0958,-6.638,0,0.102,150.011,4,DAMN
"Bitch, Don't Kill My Vibe",0.0151,0.586,310720,0.698,712uvW1Vezq8WpQi38v2L9,0,1,0.443,-8.948,1,0.0943,133.954,4,"good kid, m.A.A.d city"
Money Trees,0.0709,0.716,386907,0.531,0AOvNRgl0SMfOibWA5bP8o,0,7,0.22,-7.355,1,0.157,71.972,4,"good kid, m.A.A.d city"
good kid,0.0623,0.451,214120,0.831,5vuJuBqwzHJgCA1ysRfwxZ,0,5,0.185,-8.641,0,0.308,176.173,4,"good kid, m.A.A.d city"
m.A.A.d city,0.0538,0.487,350120,0.729,2cDCojn6uIBM6A5xTAbl3H,0.00000409,2,0.44,-6.815,1,0.271,91.066,4,"good kid, m.A.A.d city"
United In Greif,0.244,0.529,255378,0.845,5Gt9bxniM1SxN61yRzRhXL,0,8,0.143,-8.142,1,0.404,85.63,3,Mr.Morale & The Big Steppers
N95,0.377,0.79,195950,0.67,0fX4oNGBWO3dSGUZcVdVV2,0.00000232,1,0.119,-5.527,1,0.105,139.956,4,Mr.Morale & The Big Steppers
Die Hard,0.319,0.775,239027,0.736,2g6tReTlM2Akp41g0HaeXN,0.00116,1,0.127,-8.072,0,0.247,100.988,4,Mr.Morale & The Big Steppers
Purple Hearts,0.167,0.567,329295,0.824,1REVvAphiSTJyKQ1fDpHa4,0.00000265,3,0.149,-6.973,0,0.296,138.202,4,Mr.Morale & The Big Steppers